epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2617,2.77662,5.30013,0,5.2041,4.24751,0.00094,0.1875,0.00058,8e-05,0.00345,0.6875,0.00412,0.00068,2.41053,4.05972,0,4.54085,4.1579,6e-05,6e-05,6e-05
2,17.0802,3.39402,4.79572,0,5.0021,4.18072,0.00094,0.1875,0.00058,8e-05,0.00346,0.6875,0.00368,0.00069,2.40979,4.03735,0,4.54221,4.1564,0.000138614,0.000138614,0.000138614
3,22.6866,3.06478,4.66452,0,4.60904,4.17348,0.00091,0.1875,0.00055,7e-05,0.00303,0.625,0.0041,0.00069,2.40933,4.03714,0,4.5428,4.15541,0.000215644,0.000215644,0.000215644
4,28.1822,3.70101,5.4083,0,5.4505,4.31835,0.00062,0.125,0.00035,5e-05,0.00339,0.6875,0.00327,0.0006,2.40793,4.03262,0,4.54452,4.1518,0.00029109,0.00029109,0.00029109
5,33.6227,3.98793,4.67884,0,4.96936,4.28222,0.00064,0.125,0.00036,5e-05,0.00321,0.625,0.00346,0.00048,2.40702,4.03111,0,4.54498,4.14903,0.000364952,0.000364952,0.000364952
6,39.0425,3.02159,4.27144,0,4.38366,4.24972,0.00032,0.0625,0.00018,4e-05,0.00349,0.6875,0.00404,0.00076,2.40594,4.03088,0,4.5447,4.14551,0.00043723,0.00043723,0.00043723
7,44.4205,3.20996,4.45897,0,5.03392,4.1876,0.00032,0.0625,0.00018,4e-05,0.00349,0.6875,0.00404,0.00076,2.40594,4.03088,0,4.5447,4.14551,0.000507924,0.000507924,0.000507924
8,49.8522,3.23539,4.23208,0,4.45099,4.14709,0.00063,0.125,0.00037,7e-05,0.00378,0.75,0.00441,0.00076,2.4041,4.03281,0,4.5428,4.14014,0.000577034,0.000577034,0.000577034
9,55.2744,3.08681,4.32948,0,4.60797,4.19761,0.00062,0.125,0.00037,6e-05,0.00371,0.75,0.00568,0.00093,2.40121,4.03947,0,4.5371,4.13254,0.00064456,0.00064456,0.00064456
10,60.7034,3.2016,4.56431,0,4.64888,4.12321,0.00062,0.125,0.00037,6e-05,0.00371,0.75,0.00568,0.00093,2.40121,4.03947,0,4.5371,4.13254,0.000710502,0.000710502,0.000710502
