epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6387,2.9996,4.24312,0,4.08895,4.20384,0.00263,0.69231,0.0059,0.0018,0.00296,0.77949,0.00649,0.00099,2.44479,4.24602,0,4.12401,4.13217,0.000653061,0.000653061,0.000653061
2,174.016,3.07542,4.24733,0,3.96431,4.12516,0.00254,0.70256,0.00532,0.00194,0.0031,0.85641,0.00882,0.0017,2.3168,4.28604,0,4.00309,4.0641,0.00130666,0.00130666,0.00130666
3,299.282,2.89064,3.99339,0,3.85967,4.01125,0.00463,0.51795,0.00525,0.00168,0.00357,0.88718,0.01251,0.00308,2.71373,4.90211,0,4.07348,4.25966,0.00194706,0.00194706,0.00194706
4,407.537,2.88962,3.88808,0,3.75474,3.79461,0.03881,0.22051,0.02084,0.00566,0.00488,0.78462,0.00623,0.00153,2.54482,4.3158,0,4.88781,3.71696,0.0019406,0.0019406,0.0019406
5,516.342,2.8606,3.58398,0,3.69339,3.6063,0.03934,0.04103,0.01518,0.00534,0.00321,0.93846,0.00842,0.00232,2.50578,4.01972,0,14.4223,3.79076,0.0019208,0.0019208,0.0019208
6,622.214,2.77855,3.71819,0,3.63125,3.46691,0.01446,0.01538,0.0078,0.00265,0.01576,0.02051,0.00931,0.00259,2.44619,3.95903,0,6.11129,3.36221,0.001901,0.001901,0.001901
7,735.022,2.81105,3.58787,0,3.62158,3.37762,0.05416,0.03077,0.01766,0.00586,0.01154,0.03077,0.01427,0.00382,2.27186,3.88652,0,4.01756,2.9945,0.0018812,0.0018812,0.0018812
8,844.506,2.77202,3.54154,0,3.47248,3.29224,0.04917,0.03077,0.01643,0.00439,0.08639,0.13846,0.05195,0.01819,2.30467,3.48109,0,5.37393,2.82519,0.0018614,0.0018614,0.0018614
9,953.441,2.74979,3.58284,0,3.37042,3.19642,0.00369,0.94872,0.05602,0.01926,0.00367,0.94359,0.07885,0.02334,2.40845,3.4644,0,3.71767,2.87512,0.0018416,0.0018416,0.0018416
10,1059.71,2.62994,3.54335,0,3.31998,3.14067,0.14183,0.16923,0.08354,0.02766,0.16875,0.22051,0.13782,0.05265,2.15862,3.32456,0,4.16385,2.75094,0.0018218,0.0018218,0.0018218
11,1167.11,2.61024,3.48742,0,3.16358,3.10129,0.2873,0.13333,0.14942,0.05018,0.35083,0.13333,0.1956,0.06704,2.13628,3.29702,0,3.16675,2.70764,0.001802,0.001802,0.001802
12,1276.27,2.69096,3.43811,0,3.12343,3.06328,0.22667,0.21538,0.15077,0.05084,0.27239,0.28718,0.20644,0.07171,2.07325,3.35782,0,4.10289,2.6789,0.0017822,0.0017822,0.0017822
13,1388.68,2.67059,3.43294,0,2.89483,3.03738,0.33179,0.25128,0.19756,0.08242,0.27732,0.27179,0.19733,0.07509,2.05871,3.25008,0,2.82341,2.69294,0.0017624,0.0017624,0.0017624
14,1498.24,2.53978,3.245,0,2.90421,2.97988,0.35581,0.39372,0.35173,0.12592,0.41256,0.41058,0.35487,0.14091,2.12824,3.18257,0,3.51412,2.78878,0.0017426,0.0017426,0.0017426
15,1607.66,2.54672,3.3516,0,2.79897,3.04058,0.32809,0.29549,0.22856,0.08435,0.31532,0.33846,0.27286,0.0973,2.07006,3.11399,0,2.79407,2.77033,0.0017228,0.0017228,0.0017228
16,1713.88,2.43388,3.25426,0,2.74343,2.97143,0.37232,0.32308,0.32428,0.12624,0.43732,0.37949,0.35963,0.15909,1.99535,3.12901,0,2.65344,2.68464,0.001703,0.001703,0.001703
17,1819.66,2.46776,3.26915,0,2.71852,2.92092,0.35547,0.37436,0.29887,0.12129,0.33726,0.35897,0.27861,0.10878,1.94891,3.10316,0,2.73164,2.59077,0.0016832,0.0016832,0.0016832
