epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.57431,3.14838,4.46745,0,4.77005,4.23457,0,0,0,0,0,0,0,0,3.66508,3.68695,0,5.1932,4.15915,4e-05,4e-05,4e-05
2,12.7799,3.58624,3.79945,0,4.63685,4.24814,0,0,0,0,0,0,0,0,3.66492,3.68119,0,5.19472,4.15926,9.901e-05,9.901e-05,9.901e-05
3,16.9544,3.16228,4.01617,0,4.59512,4.29898,0,0,0,0,0,0,0,0,3.66477,3.67737,0,5.19585,4.15925,0.000156832,0.000156832,0.000156832
4,21.0845,3.56577,4.63916,0,4.60755,4.26127,0,0,0,0,0,0,0,0,3.66459,3.67359,0,5.19678,4.15919,0.000213466,0.000213466,0.000213466
5,25.2379,2.7344,4.31669,0,4.55446,4.23916,0,0,0,0,0,0,0,0,3.66425,3.67575,0,5.19873,4.15938,0.000268912,0.000268912,0.000268912
6,29.4513,2.99694,4.735,0,4.43236,4.20374,0,0,0,0,0,0,0,0,3.66379,3.67189,0,5.19981,4.15934,0.00032317,0.00032317,0.00032317
7,33.6785,3.03729,4.06066,0,4.79402,4.22215,0,0,0,0,0,0,0,0,3.66315,3.66825,0,5.20036,4.15937,0.00037624,0.00037624,0.00037624
8,37.8553,3.04087,4.66045,0,4.4275,4.17577,0,0,0,0,0,0,0,0,3.66243,3.66719,0,5.19899,4.15926,0.000428122,0.000428122,0.000428122
9,41.9973,2.77708,3.91146,0,4.48422,4.17376,0,0,0,0,0,0,0,0,3.66243,3.66719,0,5.19899,4.15926,0.000478816,0.000478816,0.000478816
10,46.1497,3.70094,4.06084,0,4.413,4.18986,0,0,0,0,0,0,0,0,3.66143,3.67046,0,5.19638,4.15876,0.000528322,0.000528322,0.000528322
11,50.2429,3.20089,3.75869,0,4.47007,4.12054,0,0,0,0,0,0,0,0,3.66143,3.67046,0,5.19638,4.15876,0.00057664,0.00057664,0.00057664
12,54.4183,2.93628,4.42347,0,4.45992,4.16603,0,0,0,0,0,0,0,0,3.65989,3.67979,0,5.19103,4.15733,0.00062377,0.00062377,0.00062377
13,58.7672,3.10429,3.90754,0,4.30232,4.13011,0,0,0,0,0,0,0,0,3.65989,3.67979,0,5.19103,4.15733,0.000669712,0.000669712,0.000669712
14,63.0853,2.80393,3.30529,0,4.63672,4.17979,0,0,0,0,0,0,0,0,3.65819,3.70232,0,5.17501,4.15497,0.000714466,0.000714466,0.000714466
15,67.2288,2.71112,3.63503,0,4.76189,4.11324,0,0,0,0,0,0,0,0,3.65819,3.70232,0,5.17501,4.15497,0.000758032,0.000758032,0.000758032
16,71.3565,3.7734,3.52641,0,4.49227,4.1556,0,0,0,0,0,0,0,0,3.65819,3.70232,0,5.17501,4.15497,0.00080041,0.00080041,0.00080041
17,75.5454,2.97788,4.06838,0,4.19789,4.10139,0,0,0,0,0,0,0,0,3.65469,3.7414,0,5.14067,4.15265,0.0008416,0.0008416,0.0008416
18,79.6301,3.0595,3.8651,0,4.2292,4.11784,0,0,0,0,0,0,0,0,3.65469,3.7414,0,5.14067,4.15265,0.000881602,0.000881602,0.000881602
19,83.7915,3.11823,4.20174,0,4.09765,4.10923,0,0,0,0,0,0,0,0,3.65469,3.7414,0,5.14067,4.15265,0.000920416,0.000920416,0.000920416
20,87.917,3.13818,4.18509,0,4.40857,4.06402,0,0,0,0,0,0,0,0,3.64761,3.81633,0,5.05959,4.15357,0.000958042,0.000958042,0.000958042
21,92.0127,3.31116,3.92638,0,4.25068,4.07124,0,0,0,0,0,0,0,0,3.64761,3.81633,0,5.05959,4.15357,0.00099448,0.00099448,0.00099448
22,96.1455,3.0911,4.07004,0,4.501,4.09466,0,0,0,0,0,0,0,0,3.64761,3.81633,0,5.05959,4.15357,0.00102973,0.00102973,0.00102973
23,100.233,3.20307,4.31368,0,4.21573,4.10862,0,0,0,0,0,0,0,0,3.64761,3.81633,0,5.05959,4.15357,0.00106379,0.00106379,0.00106379
24,104.407,2.99369,3.59731,0,4.02133,4.08131,0,0,0,0,0,0,0,0,3.63616,3.91794,0,4.93862,4.16492,0.00109667,0.00109667,0.00109667
25,108.472,2.99001,3.96124,0,4.09293,4.05346,0,0,0,0,0,0,0,0,3.63616,3.91794,0,4.93862,4.16492,0.00112835,0.00112835,0.00112835
26,112.569,3.0888,3.7143,0,4.47078,4.0812,0,0,0,0,0,0,0,0,3.63616,3.91794,0,4.93862,4.16492,0.00115885,0.00115885,0.00115885
27,116.681,2.81038,3.98112,0,4.35399,4.05274,0,0,0,0,0,0,0,0,3.63616,3.91794,0,4.93862,4.16492,0.00118816,0.00118816,0.00118816
28,120.809,3.26806,4.57765,0,4.32628,4.08944,0,0,0,0,0,0,0,0,3.63616,3.91794,0,4.93862,4.16492,0.00121628,0.00121628,0.00121628
29,125.155,3.2036,4.29682,0,4.08372,4.00783,0,0,0,0,0,0,0,0,3.71576,4.04432,0,4.74229,4.20601,0.00124322,0.00124322,0.00124322
30,129.244,3.02405,4.00204,0,4.66868,4.14296,0,0,0,0,0,0,0,0,3.71576,4.04432,0,4.74229,4.20601,0.00126896,0.00126896,0.00126896
31,133.35,2.59183,3.54208,0,4.09849,4.06177,0,0,0,0,0,0,0,0,3.71576,4.04432,0,4.74229,4.20601,0.00129352,0.00129352,0.00129352
32,137.441,2.8734,3.90862,0,4.1587,3.97883,0,0,0,0,0,0,0,0,3.71576,4.04432,0,4.74229,4.20601,0.00131689,0.00131689,0.00131689
33,141.546,3.01396,4.46684,0,4.17156,3.97008,0,0,0,0,0,0,0,0,3.71576,4.04432,0,4.74229,4.20601,0.00133907,0.00133907,0.00133907
34,145.692,2.92538,3.88801,0,3.97544,4.00054,0,0,0,0,0,0,0,0,3.81016,4.133,0,4.63077,4.26161,0.0013466,0.0013466,0.0013466
35,149.83,2.8346,3.93848,0,4.38273,3.98414,0,0,0,0,0,0,0,0,3.81016,4.133,0,4.63077,4.26161,0.0013268,0.0013268,0.0013268
36,154.025,3.14557,4.04654,0,4.06633,4.0193,0,0,0,0,0,0,0,0,3.81016,4.133,0,4.63077,4.26161,0.001307,0.001307,0.001307
37,158.136,2.96423,3.75958,0,3.74786,3.96474,0,0,0,0,0,0,0,0,3.81016,4.133,0,4.63077,4.26161,0.0012872,0.0012872,0.0012872
38,162.555,2.88157,3.29758,0,3.6798,3.82198,0,0,0,0,0,0,0,0,3.81016,4.133,0,4.63077,4.26161,0.0012674,0.0012674,0.0012674
39,166.663,2.90597,3.84361,0,4.14395,3.95399,0,0,0,0,0,0,0,0,3.81016,4.133,0,4.63077,4.26161,0.0012476,0.0012476,0.0012476
40,170.847,3.06108,3.77569,0,3.86043,3.91562,0.00103,0.25,0.00066,0.00039,0.0031,0.75,0.00602,0.00215,3.64479,3.90382,0,4.50668,4.15647,0.0012278,0.0012278,0.0012278
41,174.981,3.22741,3.76007,0,4.15559,3.87904,0.00103,0.25,0.00066,0.00039,0.0031,0.75,0.00602,0.00215,3.64479,3.90382,0,4.50668,4.15647,0.001208,0.001208,0.001208
42,179.103,2.65414,3.68646,0,3.76164,3.79941,0.00103,0.25,0.00066,0.00039,0.0031,0.75,0.00602,0.00215,3.64479,3.90382,0,4.50668,4.15647,0.0011882,0.0011882,0.0011882
43,183.379,2.99219,3.05494,0,3.86324,3.87289,0.00103,0.25,0.00066,0.00039,0.0031,0.75,0.00602,0.00215,3.64479,3.90382,0,4.50668,4.15647,0.0011684,0.0011684,0.0011684
44,187.542,2.70697,3.53785,0,3.9258,3.87382,0.00103,0.25,0.00066,0.00039,0.0031,0.75,0.00602,0.00215,3.64479,3.90382,0,4.50668,4.15647,0.0011486,0.0011486,0.0011486
45,191.674,2.64192,4.19106,0,4.1039,3.71987,0.00083,0.25,0.00091,0.00063,0.00333,1,0.00767,0.00273,3.68441,3.78317,0,4.42354,4.04064,0.0011288,0.0011288,0.0011288
46,195.793,2.75917,4.2543,0,4.23187,3.95474,0.00083,0.25,0.00091,0.00063,0.00333,1,0.00767,0.00273,3.68441,3.78317,0,4.42354,4.04064,0.001109,0.001109,0.001109
47,200.029,3.05998,3.62564,0,3.72255,3.78756,0.00083,0.25,0.00091,0.00063,0.00333,1,0.00767,0.00273,3.68441,3.78317,0,4.42354,4.04064,0.0010892,0.0010892,0.0010892
48,204.172,3.09144,4.07834,0,4.15219,3.9013,0.00083,0.25,0.00091,0.00063,0.00333,1,0.00767,0.00273,3.68441,3.78317,0,4.42354,4.04064,0.0010694,0.0010694,0.0010694
49,208.357,3.54413,4.0088,0,3.9507,3.82247,0.00083,0.25,0.00091,0.00063,0.00333,1,0.00767,0.00273,3.68441,3.78317,0,4.42354,4.04064,0.0010496,0.0010496,0.0010496
50,212.575,3.0192,3.95138,0,4.11538,3.76254,0.00088,0.25,0.00171,0.00154,0.00353,1,0.01753,0.00384,3.57165,3.71014,0,4.21375,3.88155,0.0010298,0.0010298,0.0010298
51,216.687,2.41305,3.71938,0,3.82982,3.74848,0.00088,0.25,0.00171,0.00154,0.00353,1,0.01753,0.00384,3.57165,3.71014,0,4.21375,3.88155,0.00101,0.00101,0.00101
52,220.798,2.63121,3.19862,0,3.63955,3.66258,0.00088,0.25,0.00171,0.00154,0.00353,1,0.01753,0.00384,3.57165,3.71014,0,4.21375,3.88155,0.0009902,0.0009902,0.0009902
