epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8893,1.67178,4.92273,0,2.34821,1.84629,0.72381,0.78462,0.8216,0.37427,0.58044,0.50769,0.45867,0.07004,1.63858,4.38864,0,2.22411,1.90369,0.00024,0.00024,0.00024
2,158.251,1.52165,3.78201,0,1.3705,1.64432,0.84911,0.88718,0.9042,0.49123,0.67827,0.70769,0.67841,0.14416,1.53456,4.09906,0,0.97625,1.71063,0.0004901,0.0004901,0.0004901
3,233.774,1.45873,3.58841,0,1.16801,1.55844,0.81846,0.79487,0.84046,0.37356,0.60901,0.57436,0.55321,0.13502,1.92354,3.9374,0,1.32208,2.18647,0.000729904,0.000729904,0.000729904
4,309.517,1.56659,3.49671,0,1.09199,1.53947,0.77605,0.64103,0.73034,0.27967,0.64441,0.53902,0.5429,0.12663,2.0811,3.89469,0,1.46234,2.507,0.000959412,0.000959412,0.000959412
5,385.033,1.50864,3.37995,0,1.03349,1.55875,0.86853,0.88718,0.92852,0.51597,0.76354,0.77949,0.73847,0.2078,1.44703,3.35505,0,1.42779,1.64406,0.00117862,0.00117862,0.00117862
6,461.084,1.45873,3.06894,0,1.03467,1.49055,0.83149,0.69231,0.82896,0.43904,0.64428,0.64089,0.61989,0.16846,1.60427,3.35347,0,1.62168,1.69215,0.00138754,0.00138754,0.00138754
7,537.256,1.49761,2.93865,0,1.09474,1.53187,0.72286,0.75385,0.81198,0.41271,0.3688,0.49231,0.29425,0.05653,1.7513,3.8885,0,3.5015,2.03396,0.00158616,0.00158616,0.00158616
8,611.901,1.38777,2.70331,0,1.02327,1.44025,0.74999,0.74872,0.82141,0.42017,0.67146,0.66154,0.68063,0.21328,1.67487,3.11498,0,2.66631,1.93499,0.0017228,0.0017228,0.0017228
9,686.359,1.47402,2.90841,0,1.10331,1.52482,0.8595,0.84702,0.90968,0.4457,0.7455,0.78974,0.75971,0.28791,1.68787,2.98822,0,1.66253,1.81761,0.0016832,0.0016832,0.0016832
10,760.739,1.44055,2.74133,0,0.99621,1.48014,0.90166,0.85128,0.93289,0.50096,0.80462,0.75897,0.76045,0.32788,1.54759,2.74854,0,1.96308,1.72246,0.0016436,0.0016436,0.0016436
