epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1954,2.69927,5.36095,0,5.12062,4.27515,0.00094,0.1875,0.00057,8e-05,0.00407,0.8125,0.0057,0.00087,2.41051,4.05979,0,4.54096,4.15791,6e-05,6e-05,6e-05
2,16.3613,3.27838,4.88103,0,5.00121,4.21813,0.00089,0.1875,0.00055,9e-05,0.00356,0.75,0.0054,0.00101,2.40972,4.03938,0,4.54245,4.15656,0.000138614,0.000138614,0.000138614
3,22.4737,3.07746,4.57313,0,4.63198,4.18306,0.00093,0.1875,0.00056,8e-05,0.0034,0.6875,0.00469,0.00076,2.40923,4.03751,0,4.54335,4.15568,0.000215644,0.000215644,0.000215644
4,28.566,3.8378,5.35541,0,5.45878,4.30405,0.00063,0.125,0.00035,5e-05,0.00313,0.625,0.00318,0.00053,2.40771,4.0334,0,4.54478,4.15244,0.00029109,0.00029109,0.00029109
5,34.6939,4.06288,4.46716,0,4.94808,4.2507,0.00063,0.125,0.00036,5e-05,0.00412,0.8125,0.00514,0.00077,2.40662,4.03206,0,4.54467,4.14991,0.000364952,0.000364952,0.000364952
6,40.7603,2.99668,4.04257,0,4.37772,4.19899,0.00064,0.125,0.00036,7e-05,0.00351,0.6875,0.00426,0.00078,2.40523,4.03214,0,4.54388,4.14659,0.00043723,0.00043723,0.00043723
7,46.8324,3.20544,4.41128,0,5.04568,4.1772,0.00064,0.125,0.00036,7e-05,0.00351,0.6875,0.00426,0.00078,2.40523,4.03214,0,4.54388,4.14659,0.000507924,0.000507924,0.000507924
8,52.8958,3.2458,4.14855,0,4.42094,4.18215,0.00064,0.125,0.00036,5e-05,0.00319,0.625,0.00447,0.0007,2.4031,4.03433,0,4.54084,4.14181,0.000577034,0.000577034,0.000577034
9,58.933,3.03075,4.3448,0,4.65144,4.15722,0.00062,0.125,0.00035,7e-05,0.00404,0.8125,0.00481,0.00082,2.40004,4.04096,0,4.53434,4.13548,0.00064456,0.00064456,0.00064456
10,64.9308,3.18156,4.4826,0,4.65444,4.12133,0.00062,0.125,0.00035,7e-05,0.00404,0.8125,0.00481,0.00082,2.40004,4.04096,0,4.53434,4.13548,0.000710502,0.000710502,0.000710502
11,71.2256,3.68693,3.82053,0,4.81625,4.13322,0.00031,0.0625,0.00018,4e-05,0.00337,0.6875,0.00345,0.00071,2.39519,4.03903,0,4.52081,4.12644,0.00077486,0.00077486,0.00077486
12,77.548,3.51781,4.06298,0,4.34687,4.16451,0.00031,0.0625,0.00018,4e-05,0.00337,0.6875,0.00345,0.00071,2.39519,4.03903,0,4.52081,4.12644,0.000837634,0.000837634,0.000837634
13,84.2325,3.16253,3.32163,0,5.04981,4.12659,0.00092,0.1875,0.00055,7e-05,0.00338,0.6875,0.00342,0.00088,2.38899,4.0645,0,4.49701,4.11681,0.000898824,0.000898824,0.000898824
14,91.0183,2.63002,3.80904,0,4.17198,4.08645,0.00092,0.1875,0.00055,7e-05,0.00338,0.6875,0.00342,0.00088,2.38899,4.0645,0,4.49701,4.11681,0.00095843,0.00095843,0.00095843
15,97.6591,3.62271,4.26558,0,4.34895,4.1294,0.00061,0.125,0.00038,7e-05,0.00364,0.75,0.00435,0.00077,2.3789,4.11344,0,4.46244,4.10627,0.00101645,0.00101645,0.00101645
16,105.595,3.15271,3.83423,0,4.48062,4.05324,0.00061,0.125,0.00038,7e-05,0.00364,0.75,0.00435,0.00077,2.3789,4.11344,0,4.46244,4.10627,0.00107289,0.00107289,0.00107289
17,112.233,3.06421,4.1908,0,5.0795,4.09685,0.00061,0.125,0.00038,7e-05,0.00364,0.75,0.00435,0.00077,2.3789,4.11344,0,4.46244,4.10627,0.00112774,0.00112774,0.00112774
18,118.786,3.13218,4.57805,0,4.54005,4.07923,0.00091,0.1875,0.00055,0.00011,0.00334,0.6875,0.004,0.00085,2.36827,4.14064,0,4.39124,4.09407,0.00118101,0.00118101,0.00118101
19,126.221,3.49041,3.82767,0,4.62395,4.09558,0.00091,0.1875,0.00055,0.00011,0.00334,0.6875,0.004,0.00085,2.36827,4.14064,0,4.39124,4.09407,0.0012327,0.0012327,0.0012327
20,132.265,2.84105,4.09033,0,4.32193,4.06953,0.00091,0.1875,0.00055,0.00011,0.00334,0.6875,0.004,0.00085,2.36827,4.14064,0,4.39124,4.09407,0.0012828,0.0012828,0.0012828
21,138.343,3.5096,3.41999,0,4.31554,4.01136,0.00091,0.1875,0.00055,0.00011,0.00334,0.6875,0.004,0.00085,2.36827,4.14064,0,4.39124,4.09407,0.00133132,0.00133132,0.00133132
22,144.453,2.89085,4.02293,0,4.0428,4.03396,0.00091,0.1875,0.00064,0.00014,0.00364,0.75,0.0048,0.00081,2.37649,4.2657,0,4.39009,4.09317,0.00137825,0.00137825,0.00137825
23,150.651,2.98928,3.30507,0,4.28157,3.96583,0.00091,0.1875,0.00064,0.00014,0.00364,0.75,0.0048,0.00081,2.37649,4.2657,0,4.39009,4.09317,0.0014236,0.0014236,0.0014236
24,157.285,3.05295,3.69307,0,4.20065,3.95982,0.00091,0.1875,0.00064,0.00014,0.00364,0.75,0.0048,0.00081,2.37649,4.2657,0,4.39009,4.09317,0.00146737,0.00146737,0.00146737
25,164.617,2.51319,4.12842,0,4.35926,3.94316,0.00091,0.1875,0.00064,0.00014,0.00364,0.75,0.0048,0.00081,2.37649,4.2657,0,4.39009,4.09317,0.00150955,0.00150955,0.00150955
26,171.434,2.97877,4.19418,0,4.49038,3.92186,0.00091,0.1875,0.00061,0.00017,0.00364,0.75,0.00393,0.0009,2.42554,4.39722,0,4.55867,4.11398,0.001505,0.001505,0.001505
27,178.111,2.96933,4.09653,0,4.52978,3.85295,0.00091,0.1875,0.00061,0.00017,0.00364,0.75,0.00393,0.0009,2.42554,4.39722,0,4.55867,4.11398,0.0014852,0.0014852,0.0014852
28,184.805,3.1131,3.80786,0,4.212,3.94032,0.00091,0.1875,0.00061,0.00017,0.00364,0.75,0.00393,0.0009,2.42554,4.39722,0,4.55867,4.11398,0.0014654,0.0014654,0.0014654
