epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8816,1.76718,4.6316,0,2.26983,1.95106,0.63142,0.78974,0.70868,0.33303,0.54119,0.5807,0.51467,0.09768,1.59689,4.01462,0,1.52932,1.91028,0.000653061,0.000653061,0.000653061
2,138.915,1.62978,3.90867,0,1.56156,1.77006,0.7429,0.82981,0.79204,0.36709,0.65598,0.78974,0.65491,0.2074,1.70178,3.61892,0,1.18795,1.92626,0.00130666,0.00130666,0.00130666
3,207.303,1.74811,3.59501,0,1.51473,1.79205,0.68849,0.65128,0.68788,0.25876,0.65983,0.64615,0.62962,0.17849,2.08137,3.62443,0,1.53568,2.39003,0.00194706,0.00194706,0.00194706
4,275.512,1.63456,3.41263,0,1.42972,1.7066,0.84945,0.74359,0.86718,0.50899,0.73936,0.64615,0.68168,0.2593,1.37238,3.21141,0,1.58439,1.59432,0.0019406,0.0019406,0.0019406
5,345.44,1.61557,3.16242,0,1.34895,1.68964,0.75943,0.84103,0.88484,0.49987,0.65756,0.72821,0.71078,0.26616,1.44496,2.99417,0,1.55759,1.64842,0.0019208,0.0019208,0.0019208
6,412.932,1.6309,3.09962,0,1.33951,1.67638,0.87559,0.83077,0.89982,0.48422,0.72966,0.69231,0.7019,0.22997,1.55454,3.05026,0,1.21521,1.70832,0.001901,0.001901,0.001901
7,480.206,1.52779,2.95101,0,1.30465,1.60608,0.82321,0.90256,0.92365,0.49102,0.71386,0.78042,0.75264,0.27073,1.51936,2.99471,0,1.36885,1.68626,0.0018812,0.0018812,0.0018812
8,547.571,1.51332,2.9076,0,1.21315,1.55476,0.84696,0.84103,0.92167,0.53362,0.75503,0.74872,0.77563,0.34454,1.49094,2.79015,0,1.06328,1.62174,0.0018614,0.0018614,0.0018614
9,614.912,1.6074,2.83812,0,1.27087,1.63341,0.91181,0.91282,0.96121,0.56583,0.82463,0.81989,0.82344,0.31825,1.41384,2.74704,0,0.95198,1.57828,0.0018416,0.0018416,0.0018416
10,682.34,1.52496,3.00249,0,1.19066,1.56523,0.91877,0.93846,0.96661,0.5548,0.78741,0.79778,0.77294,0.28512,1.42414,2.9479,0,0.97629,1.59122,0.0018218,0.0018218,0.0018218
11,749.633,1.44909,2.8587,0,1.09882,1.51119,0.94589,0.89651,0.97209,0.5812,0.79625,0.76157,0.75463,0.21864,1.33484,3.14708,0,0.93378,1.4896,0.001802,0.001802,0.001802
12,817.017,1.50541,2.81281,0,1.15959,1.59163,0.90508,0.92906,0.95064,0.55357,0.8276,0.83077,0.8358,0.27943,1.43234,2.86245,0,0.95248,1.59905,0.0017822,0.0017822,0.0017822
13,884.652,1.51311,2.59758,0,1.09425,1.5609,0.93079,0.89665,0.96197,0.5739,0.86798,0.84291,0.85346,0.3879,1.3458,2.48,0,0.89059,1.51107,0.0017624,0.0017624,0.0017624
14,953.088,1.38282,2.5405,0,1.03201,1.45614,0.91833,0.91795,0.97044,0.55875,0.85693,0.86006,0.83688,0.31759,1.42132,2.73433,0,0.8428,1.54829,0.0017426,0.0017426,0.0017426
