epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1113,3.006,4.31058,0,4.09936,4.20861,0.00259,0.69231,0.00729,0.00208,0.00292,0.77949,0.00922,0.00134,2.44996,4.22449,0,4.12578,4.13811,0.000653061,0.000653061,0.000653061
2,154.161,3.06193,4.22851,0,3.98507,4.13289,0.00254,0.70769,0.00551,0.00186,0.00298,0.83077,0.00968,0.00167,2.33626,4.29393,0,3.99988,4.07975,0.00130666,0.00130666,0.00130666
3,229.512,2.87695,3.9027,0,3.88192,4.03432,0.0021,0.63077,0.00832,0.00226,0.00301,0.90256,0.01883,0.00524,2.51803,4.14562,0,4.55855,4.11967,0.00194706,0.00194706,0.00194706
4,305.093,2.90988,3.7097,0,3.782,3.81579,0.01989,0.1641,0.01436,0.00449,0.00318,0.85641,0.01009,0.00305,2.31945,4.63718,0,8.88935,4.32959,0.0019406,0.0019406,0.0019406
5,380.59,2.79014,3.43428,0,3.73028,3.64289,0.02323,0.20513,0.01652,0.00541,0.04314,0.34359,0.02866,0.0092,2.30757,4.38134,0,6.28131,3.78874,0.0019208,0.0019208,0.0019208
6,456.049,2.81936,3.44085,0,3.66415,3.51931,0.01547,0.05641,0.01364,0.00415,0.01827,0.54872,0.01567,0.00583,2.31817,3.25693,0,4.42928,3.21471,0.001901,0.001901,0.001901
7,532.157,2.79919,3.34252,0,3.64653,3.44007,0.0429,0.22051,0.03198,0.00801,0.0068,0.75897,0.01425,0.00514,2.48432,3.63458,0,4.35853,3.30543,0.0018812,0.0018812,0.0018812
8,608.252,2.77463,3.26967,0,3.51308,3.35901,0.06124,0.12821,0.03602,0.00991,0.1587,0.2,0.08029,0.02801,2.32095,3.32568,0,4.96679,2.94408,0.0018614,0.0018614,0.0018614
9,684.466,2.75541,3.22554,0,3.39146,3.2728,0.06531,0.38462,0.05842,0.0188,0.14255,0.13333,0.07528,0.02873,2.1691,2.78645,0,4.62329,2.78523,0.0018416,0.0018416,0.0018416
10,759.557,2.61963,3.19216,0,3.3777,3.20078,0.09234,0.17685,0.05525,0.01568,0.1667,0.22564,0.13485,0.05356,2.23325,2.76018,0,4.30722,2.87277,0.0018218,0.0018218,0.0018218
11,834.69,2.61536,3.11752,0,3.26875,3.15692,0.1465,0.26154,0.12838,0.04276,0.21389,0.35897,0.19262,0.07152,2.10646,2.7323,0,3.56434,2.76517,0.001802,0.001802,0.001802
12,909.247,2.66921,3.05556,0,3.22096,3.17896,0.24567,0.23077,0.1777,0.06052,0.27344,0.33846,0.25864,0.11558,2.00937,2.56215,0,3.42203,2.80402,0.0017822,0.0017822,0.0017822
13,985.105,2.66352,2.9819,0,2.98087,3.17803,0.21134,0.24615,0.14226,0.05126,0.27532,0.38462,0.22656,0.10563,2.09027,2.57599,0,3.08844,2.77804,0.0017624,0.0017624,0.0017624
14,1053.68,2.58719,2.78234,0,2.9111,3.09316,0.37063,0.2359,0.29678,0.10651,0.42288,0.27692,0.35957,0.17605,2.08232,2.45829,0,2.78397,2.74425,0.0017426,0.0017426,0.0017426
15,1122.82,2.60069,2.92871,0,2.81897,3.12456,0.16204,0.29254,0.15858,0.05776,0.28838,0.45128,0.28328,0.13932,1.99304,2.43473,0,2.89869,2.74425,0.0017228,0.0017228,0.0017228
16,1191.36,2.51128,2.82016,0,2.83531,3.0814,0.25741,0.44615,0.26051,0.10389,0.43815,0.41026,0.3676,0.18688,1.98321,2.40375,0,2.74306,2.78315,0.001703,0.001703,0.001703
17,1260.07,2.54063,2.81718,0,2.75281,3.03956,0.34489,0.42564,0.32427,0.12687,0.33658,0.41538,0.32377,0.1804,1.9451,2.38166,0,2.53525,2.71323,0.0016832,0.0016832,0.0016832
18,1329.31,2.48761,2.71381,0,2.70139,3.00723,0.40001,0.28205,0.28113,0.11599,0.52882,0.40289,0.42067,0.2074,1.94931,2.45389,0,3.95809,2.728,0.0016634,0.0016634,0.0016634
19,1397,2.48019,2.77574,0,2.64885,3.00813,0.36134,0.49035,0.31032,0.11503,0.41235,0.46667,0.34161,0.18347,2.01368,2.333,0,2.42786,2.66937,0.0016436,0.0016436,0.0016436
20,1464.95,2.52401,2.67991,0,2.57403,2.97262,0.46643,0.42051,0.43745,0.1806,0.46421,0.45641,0.45256,0.24788,1.9331,2.32657,0,2.24717,2.61749,0.0016238,0.0016238,0.0016238
21,1532.99,2.39605,2.51876,0,2.52434,2.9257,0.50759,0.4359,0.48923,0.21523,0.55836,0.44103,0.50608,0.29496,1.91327,2.28632,0,2.36843,2.61537,0.001604,0.001604,0.001604
22,1600.79,2.3006,2.64748,0,2.44311,2.90101,0.38127,0.53404,0.45673,0.17583,0.42023,0.53333,0.47482,0.26853,2.04913,2.34767,0,2.14194,2.76522,0.0015842,0.0015842,0.0015842
23,1668.94,2.30137,2.8465,0,2.40536,2.90057,0.40978,0.53333,0.44232,0.16491,0.42537,0.5641,0.45355,0.24517,2.01256,2.3202,0,2.23422,2.71782,0.0015644,0.0015644,0.0015644
24,1736.73,2.3184,2.63374,0,2.42633,2.85425,0.4938,0.53333,0.53618,0.23458,0.48836,0.54824,0.52823,0.28913,1.86422,2.41495,0,2.11771,2.55669,0.0015446,0.0015446,0.0015446
25,1804.55,2.26753,2.75023,0,2.38603,2.82036,0.57012,0.4,0.4806,0.19457,0.64638,0.37949,0.5134,0.30388,1.96968,2.30032,0,2.11672,2.67398,0.0015248,0.0015248,0.0015248
26,1875.13,2.3231,2.91417,0,2.36706,2.83995,0.47437,0.53333,0.53283,0.22801,0.52273,0.50256,0.54241,0.31767,1.947,2.30135,0,2.02212,2.62545,0.001505,0.001505,0.001505
27,1943.04,2.20901,2.6476,0,2.33822,2.76622,0.3331,0.48205,0.34403,0.16346,0.31452,0.41538,0.31757,0.17262,1.83703,2.35719,0,2.38628,2.51905,0.0014852,0.0014852,0.0014852
28,2010.69,2.18318,2.2971,0,2.31168,2.76728,0.43723,0.57949,0.52159,0.24168,0.42745,0.5641,0.4856,0.27932,1.8005,2.23274,0,1.96293,2.51337,0.0014654,0.0014654,0.0014654
29,2078.17,2.22396,2.61481,0,2.19539,2.76224,0.57981,0.60148,0.64616,0.29382,0.56992,0.59122,0.61029,0.3691,1.80773,2.21942,0,1.84049,2.48252,0.0014456,0.0014456,0.0014456
30,2146.46,2.16189,2.53045,0,2.25285,2.71179,0.61085,0.62564,0.65218,0.31117,0.60084,0.61538,0.61808,0.34476,1.78876,2.19917,0,1.83243,2.48512,0.0014258,0.0014258,0.0014258
31,2214.18,2.09886,2.32804,0,2.16459,2.65115,0.52846,0.59197,0.62578,0.29082,0.54677,0.61248,0.62811,0.36247,1.79082,2.21877,0,1.8081,2.47688,0.001406,0.001406,0.001406
32,2281.83,2.12818,2.59436,0,2.18832,2.68659,0.60192,0.53505,0.65227,0.32626,0.62117,0.52821,0.63176,0.38676,1.72633,2.16017,0,1.8675,2.43411,0.0013862,0.0013862,0.0013862
33,2349.46,2.08079,2.65143,0,2.16325,2.65856,0.6138,0.66667,0.66103,0.31852,0.61583,0.62476,0.61357,0.32743,1.72659,2.27192,0,2.06512,2.41927,0.0013664,0.0013664,0.0013664
